Temperature,Vibration,Force
24.11,17.18,-0.02
24.09,16.99,-0.02
24.15,16.99,-0.02
24.03,17.18,-0.02
23.91,17.02,-0.02
23.63,17.02,-0.02
23.53,16.91,-0.02
23.57,17.18,-0.02
23.59,17.42,-0.02
23.47,16.95,-0.02
23.57,18.51,-0.02
23.53,16.2,-0.02
23.51,18.79,-0.02
23.45,17.06,-0.02
23.47,17.3,-0.02
23.47,15.93,-0.02
23.51,16.55,-0.02
23.51,17.1,-0.02
23.57,18.63,-0.02
23.53,20.04,0.01
23.51,14.28,0.05
23.53,20.04,0.1
23.53,11.69,0.23
23.53,1.88,0.27
23.57,3.14,-0.95
23.51,19.89,1.97
23.45,18.2,2.61
23.47,18.32,2.7
23.47,16.83,2.77
23.45,14.91,2.88
23.53,15.22,3.04
23.51,17.81,3.14
23.51,17.22,3.19
23.45,17.22,3.18
23.41,17.18,3.17
23.47,17.22,3.16
23.51,17.1,3.16
23.51,17.18,3.15
23.47,17.22,3.15
23.51,17.18,3.14
23.47,17.22,3.14
23.51,17.26,3.14
23.47,17.26,3.13
23.41,17.14,3.13
23.47,17.26,3.13
23.51,17.26,3.13
23.45,17.22,3.12
23.47,17.22,3.12
23.51,17.14,3.12
23.47,17.18,3.12
23.45,17.18,3.12
23.47,17.22,3.11
23.47,17.06,0.04
23.35,17.02,0.04
23.41,16.44,0.04
23.45,18.16,0.03
23.47,16.32,0.03
23.45,15.26,0.03
23.47,16.55,0.03
23.47,15.89,0.03
23.47,17.06,0.03
23.47,16.59,0.03
23.45,17.57,0.03
23.47,16.36,0.04
23.45,15.18,0.04
23.47,15.3,0.04
23.47,17.57,0.04
23.51,11.77,0.04
23.47,20.04,0.04
23.51,17.06,0.05
23.59,11.89,0.06
23.53,20.04,0.07
23.47,9.45,0.26
23.45,20.04,0.29
23.45,20.04,0.4
23.51,14.91,0.5
23.47,14.55,0.58
23.47,20.04,0.61
23.51,20.04,0.66
23.47,20.04,0.72
23.45,16.71,0.76
23.51,20.04,0.78
23.53,11.96,0.82
23.53,17.53,0.84
23.53,17.97,0.83
23.53,13.02,0.83
23.53,20.04,0.65
23.45,14.55,-0.0
23.45,15.1,0.0
23.51,16.87,0.0
23.53,18.99,0.0
23.51,20.04,0.0
23.53,17.57,0.0
23.69,3.88,-0.01
23.71,12.79,-0.01
23.75,20.04,-0.0
23.69,19.34,-0.0
23.71,20.04,0.0
23.71,10.94,-0.01
23.53,20.04,-0.01
